device_id,device_type,manufacturer_class,model_family,measurement_domain,sampling_profile,reliability_class,facility_id,patient_assignment_type,active,assigned_patient_id
DEV-00017,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-01,DEDICATED,True,PAT-0017
WRB-00017,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0017
DEV-00018,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0018
WRB-00018,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0018
DEV-00019,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0019
WRB-00019,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0019
DEV-00020,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0020
WRB-00020,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0020
DEV-00021,CLINICAL_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0021
WRB-00021,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0021
DEV-00022,HOME_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0022
WRB-00022,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0022
DEV-00023,CLINICAL_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0023
WRB-00023,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0023
DEV-00024,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0024
WRB-00024,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0024
DEV-00025,HOME_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0025
WRB-00025,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0025
DEV-00026,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0026
WRB-00026,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0026
DEV-00027,HOME_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0027
WRB-00027,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0027
DEV-00028,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0028
WRB-00028,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0028
DEV-00029,CLINICAL_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0029
WRB-00029,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0029
DEV-00030,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-01,DEDICATED,True,PAT-0030
WRB-00030,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0030
DEV-00031,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0031
WRB-00031,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0031
DEV-00032,HOME_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0032
WRB-00032,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0032
DEV-00033,CLINICAL_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-01,DEDICATED,True,PAT-0033
WRB-00033,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0033
DEV-00034,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0034
WRB-00034,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0034
DEV-00035,HOME_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0035
WRB-00035,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0035
DEV-00036,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0036
WRB-00036,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0036
DEV-00037,HOME_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0037
WRB-00037,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0037
DEV-00038,CLINICAL_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-01,DEDICATED,True,PAT-0038
WRB-00038,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0038
DEV-00039,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0039
WRB-00039,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0039
DEV-00040,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0040
WRB-00040,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0040
DEV-00041,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0041
WRB-00041,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0041
DEV-00042,HOME_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0042
WRB-00042,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0042
DEV-00043,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0043
WRB-00043,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0043
DEV-00044,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0044
WRB-00044,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0044
DEV-00045,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0045
WRB-00045,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0045
DEV-00046,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0046
WRB-00046,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0046
DEV-00047,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0047
WRB-00047,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0047
DEV-00048,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0048
WRB-00048,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0048
DEV-00049,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0049
WRB-00049,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0049
DEV-00050,HOME_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0050
WRB-00050,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0050
DEV-00051,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0051
WRB-00051,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0051
DEV-00052,HOME_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0052
WRB-00052,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0052
DEV-00053,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0053
WRB-00053,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0053
DEV-00054,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0054
WRB-00054,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0054
DEV-00055,HOME_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0055
WRB-00055,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0055
DEV-00056,CLINICAL_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0056
WRB-00056,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0056
DEV-00057,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-01,DEDICATED,True,PAT-0057
WRB-00057,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0057
DEV-00058,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0058
WRB-00058,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0058
DEV-00059,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0059
WRB-00059,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0059
DEV-00060,HOME_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0060
WRB-00060,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0060
DEV-00061,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0061
WRB-00061,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0061
DEV-00062,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0062
WRB-00062,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0062
DEV-00063,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0063
WRB-00063,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0063
DEV-00064,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0064
WRB-00064,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0064
DEV-00065,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-01,DEDICATED,True,PAT-0065
WRB-00065,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0065
DEV-00066,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0066
WRB-00066,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0066
DEV-00067,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0067
WRB-00067,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0067
DEV-00068,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0068
WRB-00068,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0068
DEV-00069,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R1_HIGH,FAC-05,DEDICATED,True,PAT-0069
WRB-00069,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0069
DEV-00070,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0070
WRB-00070,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0070
DEV-00071,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0071
WRB-00071,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0071
DEV-00072,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-01,DEDICATED,True,PAT-0072
WRB-00072,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0072
DEV-00073,CLINICAL_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0073
WRB-00073,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R3_VARIABLE,FAC-07,DEDICATED,True,PAT-0073
DEV-00074,CLINICAL_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-01,DEDICATED,True,PAT-0074
WRB-00074,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0074
DEV-00075,HOME_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0075
WRB-00075,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0075
DEV-00076,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R3_VARIABLE,FAC-05,DEDICATED,True,PAT-0076
WRB-00076,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0076
DEV-00077,CLINICAL_MONITOR,RISA_SYNTHETIC,M-3,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0077
WRB-00077,WRIST_WEARABLE,RISA_SYNTHETIC,W-2,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0077
DEV-00078,HOME_MONITOR,RISA_SYNTHETIC,M-4,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0078
WRB-00078,WRIST_WEARABLE,RISA_SYNTHETIC,W-3,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0078
DEV-00079,HOME_MONITOR,RISA_SYNTHETIC,M-5,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0079
WRB-00079,WRIST_WEARABLE,RISA_SYNTHETIC,W-4,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0079
DEV-00080,CLINICAL_MONITOR,RISA_SYNTHETIC,M-1,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-01,DEDICATED,True,PAT-0080
WRB-00080,WRIST_WEARABLE,RISA_SYNTHETIC,W-1,ACTIVITY_AND_PULSE,5-15 min,R2_STANDARD,FAC-07,DEDICATED,True,PAT-0080
DEV-00081,HOME_MONITOR,RISA_SYNTHETIC,M-2,MULTIVARIATE,VARIABLE,R2_STANDARD,FAC-05,DEDICATED,True,PAT-0081
